Time,Time Code,Country Name,Country Code,Taxes on goods and services (% of revenue) [GC.TAX.GSRV.RV.ZS],"Primary education, pupils [SE.PRM.ENRL]","Population, female [SP.POP.TOTL.FE.IN]","Population, male [SP.POP.TOTL.MA.IN]",Population growth (annual %) [SP.POP.GROW],Number of deaths ages 15-19 years [SH.DTH.1519]
2006,YR2006,Belgium,BEL,25.353774214791,732808,5384595,5163364,0.659558214980699,231
2006,YR2006,Austria,AUT,27.1221542641213,355293,4246451,4022191,0.494797775098466,233
2006,YR2006,China,CHN,56.7895921897956,108925224,640203444,670816557,0.558374367373002,58514
2006,YR2006,Chile,CHL,34.3651861821445,1694765,8227292,8107283,0.979795955667856,680
2006,YR2006,Finland,FIN,35.0718531336995,372128,2688216,2578051,0.383777136305104,143
2006,YR2006,Germany,DEU,22.7082467206385,3329349,42244938,40131513,-0.112797497644931,1470
2006,YR2006,Greece,GRC,31.2552336800204,645324,5547892,5472470,0.30033180096664,256
2006,YR2006,Haiti,HTI,..,..,4663269,4603020,1.68016163386105,2020
2006,YR2006,Iraq,IRQ,..,..,14521163,14384444,0.718432208523802,2950
2006,YR2006,India,IND,28.4902742879232,..,565762395,606611392,1.52430796041014,175493
2006,YR2006,Italy,ITA,23.6761490248879,2790254,29972190,28171789,0.30055968851778,996
2006,YR2006,Japan,JPN,..,..,65451729,62402271,0.0633735894181335,1729
2006,YR2006,Mexico,MEX,..,14595195,54557092,52329698,1.36053857389621,7592
2006,YR2006,Pakistan,PAK,..,16687658,86259841,91810143,2.0985131417675,25979
2006,YR2006,South Africa,ZAF,34.4261555724734,7256518,25795511,23696246,0.963593457802097,11947
2006,YR2006,Sweden,SWE,36.0677630352587,626847,4574597,4505908,0.562483906481893,188
2006,YR2006,Turkiye,TUR,..,6705994,34626495,34974838,1.29658908503988,4344
2006,YR2006,United States,USA,2.81817707629984,..,151383683,146996229,0.964253917136075,13827
2006,YR2006,Poland,POLA,21.0,153,2464,154667,25.0,14
2006,YR2006,Libya,LBY,..,755338,2940457,3032912,2.29252154954785,471
2021,YR2021,Belgium,BEL,27.0078487923169,818422,5863808,5722387,0.411601996532257,127
2021,YR2021,Austria,AUT,25.9382658633036,346610.5,4548093,4407703,0.435671684056384,111
2021,YR2021,China,CHN,31.2308199909555,107730040,691219627,721140373,0.0892522000412526,20675
2021,YR2021,Chile,CHL,46.6302690460693,1539846,9818163,9675022,0.994344898418259,551
2021,YR2021,Finland,FIN,38.1504189002664,371364,2803508,2737509,0.207288594407348,109
2021,YR2021,Germany,DEU,20.3511882252068,3038181,42146923,41049155,0.0423270572552137,846
2021,YR2021,Greece,GRC,32.1949533356377,610718,5391653,5177554,-1.21680248998544,112
2021,YR2021,Haiti,HTI,..,..,5774718,5672850,1.23729899666313,1465
2021,YR2021,Iraq,IRQ,..,..,21736184,21797409,2.26888921028968,3483
2021,YR2021,India,IND,..,122027752,681060412,726503429,0.797216093898126,90226
2021,YR2021,Italy,ITA,23.8376117932038,2671011,30312143,28821030,-0.515599998844444,463
2021,YR2021,Japan,JPN,..,..,64594414,61087180,-0.459952415807642,1245
2021,YR2021,Mexico,MEX,31.5382677166403,13716407,64849001,61856137,0.559420832085433,9631
2021,YR2021,Pakistan,PAK,..,24276648,114586264,116815852,1.83406208240793,26399
2021,YR2021,South Africa,ZAF,33.5610067276585,7698124,30497646,28894608,0.998920418563044,6999
2021,YR2021,Sweden,SWE,37.293839951957,880821.875,5169131,5246680,0.600591532839468,138
2021,YR2021,Turkiye,TUR,35.2319279530817,5328391,41972288,42175029,0.910444902564511,2209
2021,YR2021,United States,USA,2.02543139885182,23913326,167550001,164481553,0.156747054750178,12995
2021,YR2021,Poland,POL,37.3724393219198,1499410,19493868,18253255,-0.401728616642455,678
2021,YR2021,Libya,LBY,..,..,3325769,3409508,1.21494764533037,3462006
